date,county,state,fips,cases,deaths,date_rec
2020-03-22,Madison,New York,36053,1,0,2020-03-22
2020-03-23,Madison,New York,36053,4,0,2020-03-23
2020-03-24,Madison,New York,36053,5,0,2020-03-24
2020-03-25,Madison,New York,36053,7,0,2020-03-25
2020-03-26,Madison,New York,36053,9,0,2020-03-26
2020-03-27,Madison,New York,36053,17,0,2020-03-27
2020-03-28,Madison,New York,36053,19,0,2020-03-28
2020-03-29,Madison,New York,36053,24,0,2020-03-29
2020-03-30,Madison,New York,36053,34,0,2020-03-30
2020-03-31,Madison,New York,36053,41,0,2020-03-31
2020-04-01,Madison,New York,36053,67,2,2020-04-01
2020-04-02,Madison,New York,36053,77,2,2020-04-02
2020-04-03,Madison,New York,36053,77,2,2020-04-03
2020-04-04,Madison,New York,36053,77,2,2020-04-04
2020-04-05,Madison,New York,36053,89,2,2020-04-05
2020-04-06,Madison,New York,36053,92,2,2020-04-06
2020-04-07,Madison,New York,36053,92,2,2020-04-07
2020-04-08,Madison,New York,36053,92,1,2020-04-08
2020-04-09,Madison,New York,36053,91,1,2020-04-09
2020-04-10,Madison,New York,36053,99,1,2020-04-10
2020-04-11,Madison,New York,36053,99,1,2020-04-11
2020-04-12,Madison,New York,36053,101,1,2020-04-12
2020-04-13,Madison,New York,36053,101,1,2020-04-13
2020-04-14,Madison,New York,36053,104,1,2020-04-14
2020-04-15,Madison,New York,36053,105,1,2020-04-15
2020-04-16,Madison,New York,36053,105,1,2020-04-16
2020-04-17,Madison,New York,36053,105,1,2020-04-17
2020-04-18,Madison,New York,36053,105,1,2020-04-18
2020-04-19,Madison,New York,36053,106,3,2020-04-19
2020-04-20,Madison,New York,36053,106,3,2020-04-20
2020-04-21,Madison,New York,36053,106,3,2020-04-21
2020-04-22,Madison,New York,36053,106,3,2020-04-22
2020-04-23,Madison,New York,36053,106,3,2020-04-23
2020-04-24,Madison,New York,36053,106,3,2020-04-24
2020-04-25,Madison,New York,36053,121,3,2020-04-25
2020-04-26,Madison,New York,36053,123,3,2020-04-26
2020-04-27,Madison,New York,36053,124,3,2020-04-27
2020-04-28,Madison,New York,36053,126,3,2020-04-28
2020-04-29,Madison,New York,36053,126,3,2020-04-29
2020-04-30,Madison,New York,36053,131,3,2020-04-30
2020-05-01,Madison,New York,36053,139,3,2020-05-01
2020-05-02,Madison,New York,36053,149,3,2020-05-02
2020-05-03,Madison,New York,36053,151,3,2020-05-03
2020-05-04,Madison,New York,36053,217,3,2020-05-04
2020-05-05,Madison,New York,36053,223,3,2020-05-05
2020-05-06,Madison,New York,36053,231,3,2020-05-06
2020-05-07,Madison,New York,36053,246,3,2020-05-07
2020-05-08,Madison,New York,36053,249,3,2020-05-08
2020-05-09,Madison,New York,36053,250,3,2020-05-09
2020-05-10,Madison,New York,36053,251,3,2020-05-10
2020-05-11,Madison,New York,36053,251,3,2020-05-11
2020-05-12,Madison,New York,36053,251,3,2020-05-12
2020-05-13,Madison,New York,36053,253,3,2020-05-13
2020-05-14,Madison,New York,36053,255,3,2020-05-14
2020-05-15,Madison,New York,36053,256,3,2020-05-15
2020-05-16,Madison,New York,36053,258,3,2020-05-16
2020-05-17,Madison,New York,36053,258,3,2020-05-17
2020-05-18,Madison,New York,36053,258,3,2020-05-18
2020-05-19,Madison,New York,36053,260,3,2020-05-19
2020-05-20,Madison,New York,36053,292,3,2020-05-20
2020-05-21,Madison,New York,36053,294,3,2020-05-21
2020-05-22,Madison,New York,36053,297,4,2020-05-22
2020-05-23,Madison,New York,36053,301,4,2020-05-23
2020-05-24,Madison,New York,36053,301,4,2020-05-24
2020-05-25,Madison,New York,36053,303,4,2020-05-25
2020-05-26,Madison,New York,36053,303,4,2020-05-26
2020-05-27,Madison,New York,36053,310,4,2020-05-27
2020-05-28,Madison,New York,36053,310,4,2020-05-28
2020-05-29,Madison,New York,36053,310,4,2020-05-29
2020-05-30,Madison,New York,36053,311,4,2020-05-30
2020-05-31,Madison,New York,36053,316,4,2020-05-31
2020-06-01,Madison,New York,36053,316,4,2020-06-01
2020-06-02,Madison,New York,36053,317,4,2020-06-02
2020-06-03,Madison,New York,36053,319,4,2020-06-03
2020-06-04,Madison,New York,36053,319,4,2020-06-04
2020-06-05,Madison,New York,36053,323,4,2020-06-05
2020-06-06,Madison,New York,36053,325,4,2020-06-06
2020-06-07,Madison,New York,36053,327,4,2020-06-07
2020-06-08,Madison,New York,36053,327,4,2020-06-08
2020-06-09,Madison,New York,36053,331,4,2020-06-09
2020-06-10,Madison,New York,36053,331,4,2020-06-10
2020-06-11,Madison,New York,36053,333,4,2020-06-11
2020-06-12,Madison,New York,36053,333,4,2020-06-12
2020-06-13,Madison,New York,36053,333,4,2020-06-13
2020-06-14,Madison,New York,36053,334,4,2020-06-14
2020-06-15,Madison,New York,36053,335,4,2020-06-15
2020-06-16,Madison,New York,36053,336,4,2020-06-16
2020-06-17,Madison,New York,36053,338,4,2020-06-17
2020-06-18,Madison,New York,36053,341,4,2020-06-18
2020-06-19,Madison,New York,36053,342,4,2020-06-19
2020-06-20,Madison,New York,36053,343,4,2020-06-20
2020-06-21,Madison,New York,36053,345,4,2020-06-21
2020-06-22,Madison,New York,36053,347,4,2020-06-22
