date_rec|deaths_daily_nyt|positive_daily_cases_nyt|daily_cfr|p_pos|positive_daily_cases_cvt|negative_daily_cases_cvt|pending_daily_cases_cvt|p_pend|total_daily_cases_cvt
2020-03-01|0|1|0|NA|NA|NA|NA|NA|NA
2020-03-02|0|1|0|NA|NA|NA|NA|NA|NA
2020-03-03|0|2|0|NA|NA|NA|NA|NA|NA
2020-03-04|0|11|0|NA|NA|NA|NA|NA|NA
2020-03-05|0|22|0|NA|NA|NA|NA|NA|NA
2020-03-06|0|44|0|NA|NA|NA|NA|NA|NA
2020-03-07|0|89|0|NA|NA|NA|NA|NA|NA
2020-03-08|0|106|0|NA|NA|NA|NA|NA|NA
2020-03-09|0|142|0|NA|NA|NA|NA|NA|NA
2020-03-10|0|173|0|NA|NA|NA|NA|NA|NA
2020-03-11|0|217|0|NA|NA|NA|NA|NA|NA
2020-03-12|0|326|0|NA|NA|NA|NA|NA|NA
2020-03-13|0|421|0|NA|NA|NA|NA|NA|NA
2020-03-14|2|610|0.33|NA|NA|NA|NA|NA|NA
2020-03-15|6|732|0.82|NA|NA|NA|NA|NA|NA
2020-03-16|10|950|1.05|NA|NA|NA|NA|NA|NA
2020-03-17|18|1375|1.31|NA|NA|NA|NA|NA|NA
2020-03-18|32|2387|1.34|NA|NA|NA|NA|NA|NA
2020-03-19|39|4161|0.94|NA|NA|NA|NA|NA|NA
2020-03-20|68|7113|0.96|NA|NA|NA|NA|NA|NA
2020-03-21|95|10371|0.92|NA|NA|NA|NA|NA|NA
2020-03-22|142|15188|0.93|NA|NA|NA|NA|NA|NA
2020-03-23|183|20899|0.88|26.66|20875|57414|NA|NA|78289
2020-03-24|264|25704|1.03|28.12|25665|65605|NA|NA|91270
2020-03-25|381|33117|1.15|29.78|30811|72668|NA|NA|103479
2020-03-26|502|39058|1.29|30.51|37258|84846|NA|NA|122104
2020-03-27|645|44746|1.44|30.62|44635|101118|NA|NA|145753
2020-03-28|935|53517|1.75|33.55|52318|103616|NA|NA|155934
2020-03-29|1180|59783|1.97|34.53|59513|112847|NA|NA|172360
2020-03-30|1512|67504|2.24|35.66|66497|119971|NA|NA|186468
2020-03-31|1929|76211|2.53|36.94|75795|129391|NA|NA|205186
2020-04-01|2415|84364|2.86|37.9|83712|137168|NA|NA|220880
2020-04-02|2963|93360|3.17|38.66|92381|146584|NA|NA|238965
2020-04-03|3716|103689|3.58|39.48|102863|157657|NA|NA|260520
2020-04-04|4535|115963|3.91|40.09|113704|169917|NA|NA|283621
2020-04-05|5335|124085|4.3|40.37|122031|180249|NA|NA|302280
2020-04-06|6149|133389|4.61|40.74|130689|190122|NA|NA|320811
2020-04-07|7185|141703|5.07|40.84|138863|201195|NA|NA|340058
2020-04-08|8138|151271|5.38|40.89|149316|215837|NA|NA|365153
2020-04-09|9166|162036|5.66|40.85|159937|231612|NA|NA|391549
2020-04-10|10162|172830|5.88|40.8|170512|247373|NA|NA|417885
2020-04-11|11159|182990|6.1|40.92|180458|260522|NA|NA|440980
2020-04-12|12116|191425|6.33|40.88|188694|272907|NA|NA|461601
2020-04-13|12998|197973|6.57|40.77|195031|283326|NA|NA|478357
2020-04-14|14001|205375|6.82|40.51|202208|296935|NA|NA|499143
2020-04-15|14937|217130|6.88|40.64|213779|312233|NA|NA|526012
2020-04-16|15669|225761|6.94|40.37|222284|328295|NA|NA|550579
2020-04-17|16473|233293|7.06|40.06|229642|343581|NA|NA|573223
2020-04-18|17141|240542|7.13|39.68|236732|359800|NA|NA|596532
2020-04-19|17793|246741|7.21|39.31|242786|374769|NA|NA|617555
2020-04-20|18412|251608|7.32|39.05|247512|386349|NA|NA|633861
2020-04-21|19040|255932|7.44|38.76|251690|397635|NA|NA|649325
2020-04-22|19647|261591|7.51|38.39|257216|412766|NA|NA|669982
2020-04-23|20212|267932|7.54|37.86|263460|432460|NA|NA|695920
2020-04-24|20759|276218|7.52|37.17|271590|459066|NA|NA|730656
2020-04-25|21326|286901|7.43|36.29|282143|495425|NA|NA|777568
2020-04-26|21804|292914|7.44|35.77|288045|517305|NA|NA|805350
2020-04-27|22267|296991|7.5|35.35|291996|534099|NA|NA|826095
2020-04-28|22777|300276|7.59|34.92|295106|549888|NA|NA|844994
2020-04-29|23287|304994|7.64|34.35|299691|572790|NA|NA|872481
2020-04-30|23616|309696|7.63|33.8|304372|596264|NA|NA|900636
2020-05-01|23841|313575|7.6|33.24|308314|619124|NA|NA|927438
2020-05-02|24035|318134|7.55|32.63|312977|646094|NA|NA|959071
2020-05-03|24576|321833|7.64|32.09|316415|669496|NA|NA|985911
2020-05-04|24788|324357|7.64|31.66|318953|688357|NA|NA|1007310
2020-05-05|25028|326659|7.66|31.22|321192|707707|NA|NA|1028899
2020-05-06|25956|329405|7.88|30.68|323978|731943|NA|NA|1055921
2020-05-07|26206|332931|7.87|30.06|327649|762267|NA|NA|1089916
2020-05-08|26358|335804|7.85|29.46|330407|791136|NA|NA|1121543
2020-05-09|26584|338519|7.85|28.87|333122|820646|NA|NA|1153768
2020-05-10|26798|340657|7.87|28.35|335395|847603|NA|NA|1182998
2020-05-11|27003|342267|7.89|27.98|337055|867596|NA|NA|1204651
2020-05-12|27282|343705|7.94|27.63|338485|886628|NA|NA|1225113
2020-05-13|27448|345828|7.94|27.06|340661|918246|NA|NA|1258907
2020-05-14|27617|348192|7.93|26.41|343051|955706|NA|NA|1298757
2020-05-15|27755|350951|7.91|25.84|345813|992235|NA|NA|1338048
2020-05-16|27953|353136|7.92|25.26|348232|1030485|NA|NA|1378717
2020-05-17|28168|355037|7.93|24.77|350121|1063275|NA|NA|1413396
2020-05-18|28302|356278|7.94|24.41|351371|1088186|NA|NA|1439557
2020-05-19|28437|357757|7.95|24.04|352845|1114894|NA|NA|1467739
2020-05-20|28540|359235|7.94|23.53|354370|1151466|NA|NA|1505836
2020-05-21|28663|361313|7.93|22.92|356458|1198597|NA|NA|1555055
2020-05-22|28802|362991|7.93|22.37|358154|1242639|NA|NA|1600793
2020-05-23|28900|364745|7.92|21.79|359926|1292135|NA|NA|1652061
2020-05-24|29046|366346|7.93|21.27|361515|1338311|NA|NA|1699826
2020-05-25|29138|367625|7.93|20.86|362764|1376685|NA|NA|1739449
2020-05-26|29241|368669|7.93|20.51|363836|1410292|NA|NA|1774128
2020-05-27|29339|369801|7.93|20.15|364965|1446579|NA|NA|1811544
2020-05-28|29438|371559|7.92|19.54|366733|1510056|NA|NA|1876789
